key,item
75,Pico
76,Pico
78,Pico
83,Pico
84,Pico
85,Pico
86,Pico
87,Pico
88,Pico
94,Pico
95,Pico
96,Pico
97,Pico
104,Pico
105,Pico
109,Pico
110,Pico
117,Pico
118,Pico
119,Pico
120,Pico
121,Pico
122,Pico
126,Pico
138,Pico
139,Pico
141,Pico
142,Pico
144,Pico
148,Pico
149,Pico
151,Pico
152,Pico
153,Pico
160,Pico
161,Pico
162,Pico
163,Pico
164,Pico
166,Pico
167,Pico
168,Pico
169,Pico
170,Pico
171,Pico
172,Pico
173,Pico
177,Pico
178,Pico
179,Pico
180,Pico
181,Pico
182,Pico
183,Pico
184,Pico
185,Pico
187,Pico
193,Pico
194,Pico
195,Pico
196,Pico
197,Pico
198,Pico
199,Pico
200,Pico
201,Pico
202,Pico
203,Pico
204,Pico
207,Pico
209,Pico
210,Pico
211,Pico
212,Pico
213,Pico
214,Pico
215,Pico
229,Pico
234,Pico
238,Pico
239,Pico
240,Pico
243,Pico
244,Pico
245,Pico
246,Pico
247,Pico
248,Pico
250,Pico
262,Pico
264,Pico
269,Pico
270,Pico
276,Pico
277,Pico
278,Pico
279,Pico
281,Pico
289,Pico
297,Pico
298,Pico
332,Pico
333,Pico
336,Pico
338,Pico
339,Pico
340,Pico
347,Pico
369,Pico
1,Guac
2,Guac
3,Guac
4,Guac
6,Guac
8,Guac
9,Guac
10,Guac
11,Guac
16,Guac
17,Guac
22,Guac
23,Guac
24,Guac
25,Guac
27,Guac
31,Guac
32,Guac
34,Guac
35,Guac
36,Guac
39,Guac
40,Guac
42,Guac
45,Guac
47,Guac
48,Guac
49,Guac
51,Guac
52,Guac
53,Guac
54,Guac
56,Guac
57,Guac
58,Guac
60,Guac
63,Guac
64,Guac
65,Guac
66,Guac
67,Guac
68,Guac
69,Guac
75,Guac
77,Guac
78,Guac
79,Guac
80,Guac
81,Guac
82,Guac
83,Guac
84,Guac
85,Guac
86,Guac
87,Guac
88,Guac
92,Guac
93,Guac
95,Guac
96,Guac
97,Guac
101,Guac
104,Guac
105,Guac
109,Guac
110,Guac
114,Guac
115,Guac
116,Guac
117,Guac
118,Guac
119,Guac
120,Guac
121,Guac
127,Guac
138,Guac
139,Guac
141,Guac
142,Guac
143,Guac
145,Guac
148,Guac
149,Guac
150,Guac
151,Guac
154,Guac
155,Guac
158,Guac
159,Guac
160,Guac
161,Guac
162,Guac
163,Guac
164,Guac
165,Guac
166,Guac
167,Guac
168,Guac
169,Guac
170,Guac
171,Guac
172,Guac
173,Guac
181,Guac
182,Guac
184,Guac
185,Guac
186,Guac
187,Guac
191,Guac
192,Guac
214,Guac
223,Guac
227,Guac
228,Guac
234,Guac
235,Guac
239,Guac
240,Guac
243,Guac
244,Guac
245,Guac
246,Guac
247,Guac
248,Guac
249,Guac
250,Guac
262,Guac
269,Guac
270,Guac
275,Guac
276,Guac
277,Guac
278,Guac
279,Guac
281,Guac
282,Guac
290,Guac
294,Guac
298,Guac
331,Guac
332,Guac
333,Guac
336,Guac
340,Guac
347,Guac
369,Guac
1,Cheese
2,Cheese
5,Cheese
6,Cheese
7,Cheese
9,Cheese
13,Cheese
15,Cheese
16,Cheese
22,Cheese
24,Cheese
25,Cheese
26,Cheese
27,Cheese
28,Cheese
32,Cheese
35,Cheese
36,Cheese
37,Cheese
39,Cheese
42,Cheese
43,Cheese
45,Cheese
46,Cheese
48,Cheese
51,Cheese
52,Cheese
54,Cheese
58,Cheese
59,Cheese
61,Cheese
62,Cheese
67,Cheese
68,Cheese
69,Cheese
70,Cheese
71,Cheese
74,Cheese
75,Cheese
76,Cheese
78,Cheese
79,Cheese
80,Cheese
81,Cheese
83,Cheese
84,Cheese
85,Cheese
86,Cheese
87,Cheese
91,Cheese
92,Cheese
93,Cheese
94,Cheese
98,Cheese
99,Cheese
101,Cheese
102,Cheese
103,Cheese
105,Cheese
109,Cheese
111,Cheese
114,Cheese
115,Cheese
119,Cheese
123,Cheese
126,Cheese
127,Cheese
138,Cheese
139,Cheese
140,Cheese
144,Cheese
145,Cheese
148,Cheese
150,Cheese
154,Cheese
155,Cheese
156,Cheese
157,Cheese
158,Cheese
159,Cheese
160,Cheese
161,Cheese
162,Cheese
163,Cheese
164,Cheese
166,Cheese
167,Cheese
168,Cheese
169,Cheese
170,Cheese
171,Cheese
172,Cheese
173,Cheese
174,Cheese
177,Cheese
178,Cheese
179,Cheese
180,Cheese
183,Cheese
184,Cheese
185,Cheese
190,Cheese
198,Cheese
199,Cheese
200,Cheese
201,Cheese
202,Cheese
203,Cheese
204,Cheese
205,Cheese
208,Cheese
209,Cheese
210,Cheese
211,Cheese
212,Cheese
213,Cheese
214,Cheese
215,Cheese
216,Cheese
217,Cheese
218,Cheese
219,Cheese
220,Cheese
224,Cheese
225,Cheese
226,Cheese
227,Cheese
234,Cheese
240,Cheese
242,Cheese
245,Cheese
246,Cheese
249,Cheese
250,Cheese
251,Cheese
252,Cheese
253,Cheese
255,Cheese
257,Cheese
263,Cheese
266,Cheese
277,Cheese
278,Cheese
279,Cheese
281,Cheese
287,Cheese
288,Cheese
289,Cheese
290,Cheese
297,Cheese
330,Cheese
338,Cheese
339,Cheese
349,Cheese
369,Cheese
386,Cheese
1,Fries
2,Fries
5,Fries
7,Fries
9,Fries
12,Fries
13,Fries
15,Fries
16,Fries
20,Fries
21,Fries
24,Fries
25,Fries
32,Fries
35,Fries
36,Fries
39,Fries
43,Fries
51,Fries
52,Fries
54,Fries
58,Fries
59,Fries
61,Fries
67,Fries
68,Fries
69,Fries
71,Fries
74,Fries
76,Fries
78,Fries
79,Fries
81,Fries
83,Fries
84,Fries
85,Fries
86,Fries
87,Fries
91,Fries
94,Fries
98,Fries
101,Fries
102,Fries
103,Fries
104,Fries
107,Fries
109,Fries
114,Fries
115,Fries
119,Fries
126,Fries
138,Fries
139,Fries
140,Fries
144,Fries
148,Fries
150,Fries
154,Fries
156,Fries
157,Fries
158,Fries
160,Fries
161,Fries
162,Fries
163,Fries
164,Fries
169,Fries
170,Fries
171,Fries
172,Fries
177,Fries
178,Fries
179,Fries
180,Fries
183,Fries
184,Fries
185,Fries
190,Fries
198,Fries
199,Fries
200,Fries
201,Fries
202,Fries
203,Fries
204,Fries
205,Fries
207,Fries
209,Fries
210,Fries
211,Fries
212,Fries
213,Fries
214,Fries
215,Fries
224,Fries
225,Fries
226,Fries
227,Fries
234,Fries
238,Fries
240,Fries
242,Fries
245,Fries
246,Fries
249,Fries
250,Fries
251,Fries
252,Fries
253,Fries
255,Fries
263,Fries
277,Fries
278,Fries
279,Fries
281,Fries
287,Fries
288,Fries
289,Fries
290,Fries
297,Fries
330,Fries
338,Fries
339,Fries
349,Fries
369,Fries
6,Sour_cream
7,Sour_cream
9,Sour_cream
16,Sour_cream
24,Sour_cream
25,Sour_cream
32,Sour_cream
43,Sour_cream
49,Sour_cream
51,Sour_cream
52,Sour_cream
58,Sour_cream
67,Sour_cream
68,Sour_cream
69,Sour_cream
70,Sour_cream
74,Sour_cream
75,Sour_cream
79,Sour_cream
80,Sour_cream
81,Sour_cream
83,Sour_cream
84,Sour_cream
85,Sour_cream
86,Sour_cream
87,Sour_cream
91,Sour_cream
99,Sour_cream
101,Sour_cream
102,Sour_cream
103,Sour_cream
109,Sour_cream
110,Sour_cream
111,Sour_cream
114,Sour_cream
115,Sour_cream
119,Sour_cream
138,Sour_cream
140,Sour_cream
148,Sour_cream
154,Sour_cream
155,Sour_cream
156,Sour_cream
157,Sour_cream
158,Sour_cream
166,Sour_cream
167,Sour_cream
168,Sour_cream
173,Sour_cream
180,Sour_cream
184,Sour_cream
185,Sour_cream
190,Sour_cream
205,Sour_cream
209,Sour_cream
210,Sour_cream
211,Sour_cream
212,Sour_cream
213,Sour_cream
214,Sour_cream
215,Sour_cream
216,Sour_cream
217,Sour_cream
218,Sour_cream
219,Sour_cream
220,Sour_cream
224,Sour_cream
227,Sour_cream
229,Sour_cream
234,Sour_cream
238,Sour_cream
240,Sour_cream
250,Sour_cream
251,Sour_cream
252,Sour_cream
253,Sour_cream
255,Sour_cream
277,Sour_cream
278,Sour_cream
279,Sour_cream
281,Sour_cream
287,Sour_cream
288,Sour_cream
289,Sour_cream
297,Sour_cream
330,Sour_cream
338,Sour_cream
339,Sour_cream
349,Sour_cream
386,Sour_cream
3,Pork
8,Pork
12,Pork
18,Pork
23,Pork
28,Pork
33,Pork
41,Pork
42,Pork
60,Pork
64,Pork
70,Pork
77,Pork
82,Pork
97,Pork
118,Pork
141,Pork
142,Pork
143,Pork
144,Pork
145,Pork
146,Pork
147,Pork
152,Pork
165,Pork
182,Pork
186,Pork
191,Pork
211,Pork
212,Pork
213,Pork
223,Pork
229,Pork
235,Pork
237,Pork
239,Pork
243,Pork
244,Pork
247,Pork
262,Pork
264,Pork
269,Pork
276,Pork
332,Pork
333,Pork
336,Pork
340,Pork
6,Chicken
36,Chicken
48,Chicken
56,Chicken
57,Chicken
63,Chicken
111,Chicken
117,Chicken
126,Chicken
205,Chicken
214,Chicken
215,Chicken
216,Chicken
217,Chicken
218,Chicken
219,Chicken
220,Chicken
251,Chicken
263,Chicken
294,Chicken
11,Shrimp
17,Shrimp
49,Shrimp
62,Shrimp
122,Shrimp
150,Shrimp
193,Shrimp
194,Shrimp
195,Shrimp
196,Shrimp
197,Shrimp
198,Shrimp
199,Shrimp
200,Shrimp
201,Shrimp
202,Shrimp
203,Shrimp
204,Shrimp
281,Shrimp
290,Shrimp
331,Shrimp
14,Fish
100,Fish
108,Fish
192,Fish
275,Fish
341,Fish
6,Tomato
38,Tomato
100,Tomato
126,Tomato
127,Tomato
275,Tomato
290,Tomato
11,Bell_pepper
44,Bell_pepper
46,Bell_pepper
174,Bell_pepper
206,Bell_pepper
229,Bell_pepper
257,Bell_pepper
12,Carrots
14,Cabbage
17,Cabbage
38,Cabbage
108,Cabbage
192,Cabbage
275,Cabbage
294,Cabbage
341,Cabbage
14,Sauce
29,Sauce
30,Sauce
38,Sauce
56,Sauce
57,Sauce
59,Sauce
61,Sauce
75,Sauce
99,Sauce
107,Sauce
108,Sauce
122,Sauce
146,Sauce
147,Sauce
150,Sauce
193,Sauce
194,Sauce
195,Sauce
196,Sauce
197,Sauce
198,Sauce
199,Sauce
200,Sauce
201,Sauce
202,Sauce
203,Sauce
204,Sauce
205,Sauce
206,Sauce
216,Sauce
217,Sauce
218,Sauce
219,Sauce
220,Sauce
246,Sauce
281,Sauce
331,Sauce
18,Sasla
33,Sasla
46,Sasla
105,Sasla
111,Sasla
155,Sasla
18,Cilantro
19,Cilantro
41,Cilantro
77,Cilantro
82,Cilantro
100,Cilantro
145,Cilantro
146,Cilantro
147,Cilantro
186,Cilantro
191,Cilantro
223,Cilantro
236,Cilantro
237,Cilantro
294,Cilantro
18,Onion
19,Onion
41,Onion
44,Onion
77,Onion
82,Onion
100,Onion
145,Onion
146,Onion
147,Onion
174,Onion
186,Onion
191,Onion
223,Onion
236,Onion
237,Onion
257,Onion
22,Taquito
92,Taquito
93,Taquito
101,Taquito
28,Pineapple
41,Pineapple
80,Pineapple
120,Pineapple
144,Pineapple
146,Pineapple
147,Pineapple
28,Ham
386,Ham
29,Chile_relleno
30,Chile_relleno
70,Chile_relleno
99,Chile_relleno
37,Nopal
55,Nopal
56,Nopal
57,Nopal
38,Lobster
44,Egg
98,Egg
140,Egg
242,Egg
386,Egg
46,Mushroom
53,Mushroom
206,Mushroom
46,Bacon
98,Bacon
242,Bacon
124,Sushi
125,Sushi
193,Avocado
194,Avocado
195,Avocado
196,Avocado
197,Avocado
198,Avocado
199,Avocado
200,Avocado
201,Avocado
202,Avocado
203,Avocado
204,Avocado
206,Avocado
192,Corn
229,Corn
341,Corn
206,Zucchini
